Plant Name,Selected Image Filename,Source Split,Original Filename,Image Width,Image Height,Bbox Area Fraction,Other Annotations In Source Image,QA Note
Acacia,Acacia.jpg,valid,-rXbLbP_swrtNrtNHn8SEtetBg5G-8wBX7UnunFF7s-_plaintext_638330575315230060_jpg.rf.1e3eb4ce124dd74736e5286f3d2b9b85.jpg,640,640,0.682,3,
Aerva lanata,Aerva_Lanata.jpg,train,2023_08_25_16_05_IMG_0357_JPG_jpg.rf.26bf01da8d2f3d2bc6483436e41fbe49.jpg,640,640,0.07,2,
Ajwain,Ajwain.jpg,test,Hyoscyamus_niger-_Solanaceae_jpg.rf.77c9bc244a32d829fbabaee3128db97c.jpg,640,640,0.671,2,"DATA QUALITY ISSUE: every candidate image filename for this label literally references Hyoscyamus niger (Henbane, a different plant already correctly labeled elsewhere in the dataset). The entire Ajwain category appears mislabeled at the source; no genuine Ajwain image exists under this label. No alternative available; used as-is."
Aloe vera,Aloe_Vera.jpg,valid,istockphoto-1448674989-612x612_jpg.rf.a34a29e4441d8d92ff0dd439944cf1d7.jpg,640,640,0.643,3,
Amla,Amla.jpg,train,IMG-20231016-WA0165_jpg.rf.5cdf1876e10c15ca8c56875ffef6697e.jpg,640,640,0.227,12,
Andrographis paniculata,Andrographis_Paniculata.jpg,train,2023_06_22_12_08_IMG_6747_JPG_jpg.rf.028ac92eb7c490feebae3cfb7958fd17.jpg,640,640,0.143,14,
Ankur,Ankur.jpg,train,52265_ankur1406_1537629451634_887_jpeg.rf.3a3c0a7fbdb9808ddd7571f4c0ac1ff9.jpg,640,640,0.7,1,
Aquatic-Ginger,Aquatic_Ginger.jpg,train,Aquatic-Ginger20_jpg.rf.65b0924803fe0b19763e6e852a3cd973.jpg,640,640,0.88,1,
Ashoka,Ashoka.jpg,train,13_jpg.rf.8c76602404fa59d595be603ec8e12ed0.jpg,640,640,0.824,2,
Ashwagandha,Ashwagandha.jpg,train,IMG-20231016-WA0092_jpg.rf.d08e644765928ace936cc83bd03ca607.jpg,640,640,0.874,10,
Bacopa monnieri,Bacopa_Monnieri.jpg,train,2023_06_22_11_00_IMG_5711_JPG_jpg.rf.d86ddd6464c294d88c690e1e8043dee7.jpg,640,640,0.349,1,
Bael,Bael.jpg,train,images-7-_jpg.rf.d0201f4f5bfa84bf0eed631c30af4084.jpg,640,640,0.655,1,
Basil,Basil.jpg,valid,LINE_ALBUM_-_231017_197_jpg.rf.c9dca340aeea6c04105ebf1965f94c68.jpg,640,640,0.665,1,
Belpatra,Belpatra.jpg,train,Aegle-marmelos-2_jpg.rf.76f1a240a613dff04a842f7601ea1854.jpg,640,640,0.323,4,
Calotropis gigantea,Calotropis_Gigantea.jpg,train,2023_07_01_17_27_IMG_8070_JPG_jpg.rf.e62040c9c2d977aca791b536d77e27b2.jpg,640,640,0.6,2,
Cardamom,Cardamom.jpg,train,IMG-20231016-WA0484_jpg.rf.c685f6891c0c416a0d3e2e251d425f73.jpg,640,640,0.493,2,
Castor Oil Plant,Castor_Oil_Plant.jpg,train,45_jpg.rf.9187ff37f54270b4bfe0205f910eac57.jpg,640,640,0.958,8,
